search_brand,search_product,shop,product_name,weight,mrp,special_price
3 Roses,Tea,DMart,Brooke Bond 3 Roses Tea : 500 gms,500 gm,300.00,275.00
3 Roses,Tea,DMart,Brooke Bond 3 Roses Tea : 250 gms,250 gm,155.00,145.00
3 Roses,Tea,DMart,Brooke Bond 3Roses Nature Care Tea : 500 gms,500 gm,320.00,290.00
3 Roses,Tea,DMart,Dabur Hajmola Regular : 120 Tablets,120 Tablets,40.00,37.00
3 Roses,Tea,DMart,Eno Fruit Salt Lemon Flavour : 30 gms,30 gm,48.00,44.00
7 Up,Soft Drink,DMart,7 Up : 2.25 Litres,2.25 L,90.00,70.00
7 Up,Soft Drink,DMart,Thums Up : 1.75 Litres,1.75 L,90.00,75.00
7 Up,Soft Drink,DMart,Rebalanz Tasty Apple Drink : 200 ml,200 ml,35.00,21.00
7 Up,Soft Drink,DMart,Fanta : 1.75 Litres,1.75 L,85.00,70.00
7 Up,Soft Drink,DMart,Limca : 1.75 Litres,1.75 L,90.00,72.00
ACT II,Popcorn,DMart,Makai For Popcorn : 200 gms,200 gm,29.00,24.00
Adidas,Deodrant,DMart,Kamasutra Spark Men Deodorant : 260 ml,260 ml,299.00,160.00
Adidas,Deodrant,DMart,Engage Blush Women Deodorant : 150 ml,150 ml,195.00,160.00
Adidas,Deodrant,DMart,Axe Dark Temptation Deodorant Body Spray : 150 ml,150 ml,200.00,120.00
Adidas,Deodrant,DMart,Cinthol Lime Refreshing Deo Soap : 4x150 gms,600 gm,140.00,129.00
Adidas,Deodrant,DMart,Nivea Aqua Cool Roll On : 50 ml,50 ml,185.00,140.00
Anurag,Cooking Oil,DMart,Anurag Deeparadhana Pooja Oil : 900 ml,900 ml,150.00,95.00
Anurag,Cooking Oil,DMart,Saffola Gold Oil : 1 Litre,1 L,159.00,149.00
Anurag,Cooking Oil,DMart,Saffola Gold Oil : 5 Litres,5 L,825.00,775.00
Anurag,Cooking Oil,DMart,Swaad Refined Sunflower Oil : 1 Litre,1 L,120.00,99.00
Anurag,Cooking Oil,DMart,Fortune Sunlite Refined Sunflower Oil : 1 Litre,1 L,133.00,102.00
Appy Fizz,Juice,DMart,Minute Maid Apple Juice : 1 Litre,1 L,105.00,55.00
