Product_Name,Rating,Unit,MRP,Actual_Price,Offer,SBC_Offer
Family Farm Arhar Dal/Toor Dal,0,1 kg,120,108,10% OFF,12% OFF
Grofers Mother's Choice Sooji/Rava,4.1,500 g,30,30,,
Grofers Mother's Choice Black Kishmish/Raisins,3.9,200 g,120,86,28% OFF,30% OFF
Grofers Mother's Choice Kachi Ghani Mustard Oil (Bottle),4,1 l,145,121,16% OFF,17% OFF
Grofers Mother's Choice American Almonds,4.2,500 g,595,425,28% OFF,29% OFF
Family Farm Chana Dal,4.1,1 kg,90,86,,7% OFF
Grofers Mother's Choice Refined Sunflower Oil (Pouch),4,1 l,120,102,15% OFF,15% OFF
Grofers Mother's Choice Everyday/Rozana Basmati Rice,3.5,1 kg,120,72,40% OFF,42% OFF
Grofers Mother's Choice Everyday/Rozana Basmati Rice,3.8,5 kg,490,340,30% OFF,31% OFF
Family Farm Maida,4.2,1 kg,59,46,22% OFF,25% OFF
Family Farm White Urad Gota/Gola,0,1 kg,139,139,,
Tata Salt,4.4,1 kg,20,19,5% OFF,10% OFF
Gold Winner Refined Sunflower Oil (Pouch),4.4,1 l,115,108,6% OFF,
Aashirvaad Shudh Chakki Whole Wheat Atta,4.2,10 kg,490,423,13% OFF,14% OFF
Aashirvaad Shudh Chakki Whole Wheat Atta,4.2,1 kg,57,54,5% OFF,7% OFF
Aashirvaad Shudh Chakki Whole Wheat Atta,4.3,5 kg,270,259,,5% OFF
Family Farm Moong Dal (Dhuli),4.1,1 kg,170,143,15% OFF,17% OFF
Grofers Mother's Choice Black Peppercorns/Kali Mirch,0,100 g,145,74,48% OFF,51% OFF
Grofers Mother's Choice Cumin Seeds/Jeera,0,200 g,90,74,17% OFF,21% OFF
Grofers Mother's Choice Small Black Mustard Seeds/Rai,4.1,200 g,35,27,22% OFF,25% OFF
Fortune Sunlite Refined Sunflower Oil (Pouch),4.3,1l,132,109,17% OFF,
Udhaiyam White Urad Dal (Dhuli),4.3,1 kg,180,170,5% OFF,6% OFF
24 Mantra Organic Whole Wheat Atta,0,5 kg,310,279,10% OFF,10% OFF
Parachute Coconut Oil - Free 100 ml Pack - Brand Offer,0,600ml + 100ml,250,225,10% OFF,11% OFF
Grofers Mother's Choice Raw Peanuts,0,500 g,100,82,18% OFF,21% OFF
Grofers Mother's Choice Raw Peanuts,4.2,1 kg,190,160,15% OFF,18% OFF
24 Mantra Organic Arhar Dal/Toor Dal,0,1 kg,195,176,9% OFF,12% OFF
Grofers Mother's Choice Unpolished Green Moong (Sabut),4.1,500 g,99,97,,5% OFF
Grofers Mother's Choice Unpolished Green Moong (Sabut),4,1 kg,195,192,,
Grofers Mother's Choice Thick Poha,0,500 g,40,39,,5% OFF
Grofers Mother's Choice Kishmish/Raisins,4.1,500 g,255,165,35% OFF,36% OFF
Grofers Mother's Choice Kabuli Chana,4.1,500 g,95,69,27% OFF,29% OFF
Grofers Mother's Choice Kabuli Chana,4.2,1 kg,180,135,25% OFF,27% OFF
Grofers Mother's Choice Indian Green Kishmish/Raisins,4.1,200 g,165,75,54% OFF,56% OFF
Grofers Mother's Choice W320 Cashews,4.1,500 g,807,428,46% OFF,47% OFF
Grofers Mother's Choice W320 Cashews,4.1,200 g,324,181,44% OFF,44% OFF
YES Idli Rice,4.5,5 kg,220,196,10% OFF,11% OFF
Grofers Mother's Choice Finest American Almonds,4.2,200 g,250,173,30% OFF,31% OFF
Grofers Mother's Choice Jaggery,4.1,500 g,50,50,,
Grofers Mother's Choice Turmeric Powder/Haldi - Buy 1 Get 1 Free,4.2,2x100 g,60,30,50% OFF,51% OFF
Grofers Mother's Choice Turmeric Powder/Haldi,4.2,500 g,145,69,52% OFF,53% OFF
Grofers Mother's Choice Turmeric Powder/Haldi,0,100 g,30,16,46% OFF,50% OFF
Grofers Mother's Choice Fried Gram/Chana Roasted Dal,4.3,500 g,70,63,10% OFF,12% OFF
Family Farm Maida,4.2,500 g,36,25,30% OFF,33% OFF
Grofers Mother's Choice Walnut Kernels,3.9,200 g,395,307,22% OFF,23% OFF
L.G Compounded Hing Powder,4.4,100 g,154,144,6% OFF,7% OFF
Grofers Mother's Choice Red Chilli Powder,0,100 g,45,30,33% OFF,35% OFF
Grofers Mother's Choice Red Chilli Powder,4.1,500 g,160,141,11% OFF,15% OFF
Tata Sampann Unpolished Arhar Dal/Toor Dal,4.3,1 kg,149,133,10% OFF,12% OFF
Grofers Mother's Choice Tamarind Whole,0,500 g,150,119,20% OFF,23% OFF
Grofers Mother's Choice Tamarind Whole,4,200 g,75,68,9% OFF,13% OFF
Family Farm Urad Dal (Dhuli),4,1 kg,150,127,15% OFF,16% OFF
Grofers Mother's Choice Cow Ghee,4.1,1 l,500,462,7% OFF,7% OFF
VKR Sivaji Premium Boiled Ponni Rice,4.5,25 kg,1660,1660,,
Jersey Cow Ghee,4.1,1 l,590,512,13% OFF,13% OFF
Jersey Cow Ghee,5,500 ml,295,257,12% OFF,13% OFF
Grofers Mother's Choice Big Black Mustard Seeds,4.2,200 g,30,29,,6% OFF
Nandini Pure Cow Ghee,4.3,1 l,490,462,5% OFF,
Idhayam Sesame Oil/Til Oil,0,1 l,330,327,,
SVS Refined Groundnut Oil,5,1 l,200,193,,
Grofers Mother's Choice Coriander Seeds/Dhania,4.2,200 g,75,58,22% OFF,25% OFF
Udhaiyam Chana Dal,4,1 kg,98,90,8% OFF,11% OFF
Grofers Mother's Choice - Saunf Seeds,4.1,200 g,95,57,40% OFF,42% OFF
Grofers Mother's Choice Jaggery Powder,4.1,500 g,55,49,10% OFF,14% OFF
Grofers Mother's Choice Unpolished Yellow Moong Dal (Dhuli),4,1 kg,170,170,,
Grofers Mother's Choice Unpolished Yellow Moong Dal (Dhuli),4.1,500 g,90,90,,
Everest Tikhalal Red Chilli Powder,4.3,100 g,36,36,,
Fortune Premium Kachi Ghani Pure Mustard Oil (Bottle),4.3,1 l,155,138,10% OFF,
Family Farm Kala Chana/Brown Chana,4.2,1 kg,90,81,10% OFF,13% OFF
Naga Samba Wheat Sooji/Rava,5,500 g,65,65,,
Harina Sesame Oil,4.1,1 l,320,295,7% OFF,8% OFF
O'range Coconut Oil (Bottle),4.1,500 ml,219,125,42% OFF,44% OFF
Family Farm Cashews,0,500 g,750,386,48% OFF,50% OFF
Parachute Pure Coconut Oil (Bottle),4.3,300 ml,122,122,,
Grofers Mother's Choice Cassia Sticks/Dalchini,4.2,50 g,35,33,5% OFF,8% OFF
Grofers Mother's Choice Broken Cashews/Kaju,3.9,200 g,304,157,48% OFF,49% OFF
Grofers Mother's Choice Compounded Hing Powder,0,25 g,40,34,15% OFF,17% OFF
Grofers Mother's Choice Compounded Hing Powder,4.2,50 g,75,65,13% OFF,16% OFF
Grofers Mother's Choice Ginger Garlic Paste,4.1,200 g,46,44,,8% OFF
YES Rajabhogam Boiled Ponni Rice,0,5 kg,305,263,13% OFF,16% OFF
Grofers Mother's Choice Dried Figs/Anjeer,3.7,200 g,320,263,17% OFF,18% OFF
Safe Harvest Pesticide Free White Urad Gota/Gola,4.3,1 kg,170,161,5% OFF,6% OFF
Safe Harvest Pesticide Free White Urad Gota/Gola,3.9,500 g,95,92,,6% OFF
Gold Winner Sunflower Oil (Jar),3.9,5 l,603,603,,
Aashirvaad Multigrain Atta,0,5 kg,310,291,6% OFF,7% OFF
Aashirvaad Multigrain Atta,0,1 kg,64,60,6% OFF,7% OFF
Grofers Mother's Choice Idli Sooji/Rava,3.9,500 g,30,29,,6% OFF
Kohinoor Charminar Rozana Basmati Rice,4.1,5 kg,515,344,33% OFF,33% OFF
Grofers Mother's Choice Salted Pistachios,0,200 g,325,293,9% OFF,10% OFF
Family Farm Malka Masoor,4.1,1 kg,99,99,,
Grofers Mother's Choice Sharbati Atta,4.2,5 kg,275,185,32% OFF,33% OFF
Grofers Mother's Choice Sharbati Atta,4.1,1 kg,55,41,25% OFF,27% OFF
Grofers Mother's Choice Maida,4.2,500g,30,27,10% OFF,13% OFF
Saffola Tasty Pro Fitness Conscious Blended Cooking Oil (Pouch),0,1 l,120,110,8% OFF,10% OFF
Grofers Mother's Choice MP Chakki Fresh Atta,4.1,5 kg,245,178,27% OFF,28% OFF
Grofers Mother's Choice MP Chakki Fresh Atta,4.1,10 kg,440,352,20% OFF,20% OFF
